Region;Pays;Code;Year;Population;Urbain %;Rural %;Poulet (Kg/personne);Bœuf (Kg/personne);Poissons (Kg/personne);Autres viandes (Kg/personne);Import poulets (1000 têtes);Export poulets (1000 têtes);Import poulets (tonnes);Export poulets (tonnes);Production / Tonnes;Political_Stability;Rank;PIB_par_habitant ($);Disponibilités de matière grasse (g/personne/jour);Disponibilités protéiques (g/personne/jour)
Americas;Paraguay;PRY;2019;6530026;61.879;38.121;11.010001;23.230001;5.1500006;9.16000107;11555;0;0.0;5705.64;76824;-0.01;95;5807.83879407975;89.0;71.3
Americas;Peru;PER;2019;32824861;78.099;21.900999999999996;43.79999;4.3899994;27.219995;6.7399992;95;10;54868.98;48.85;1762855;-0.15;104;6955.88082448096;63.2;90.7
Western Pacific;Philippines;PHL;2019;110380804;47.149;52.851;16.74;3.52;28.85;16.11;72;2;301082.41;1028.32;1508883;-0.92;156;3413.84904430419;54.6;66.7
Europe;Poland;POL;2019;37965475;60.037;39.963;29.970001;1.07;11.23;53.570004014;98059;68061;55257.26;920485.36;2567684;0.56;59;15700.0135796738;130.3;107.7
Europe;Portugal;PRT;2019;10286263;65.764;34.236000000000004;31.289997;21.749998;59.409992;43.7799958;12359;42947;45572.53;19222.97;350250;1.07;16;23330.817288932;144.0;117.7
Eastern Mediterranean;Qatar;QAT;2019;2807235;99.188;0.8119999999999976;54.329964;10.289992;23.369984;14.6899894;492;0;124644.12;0.0;27000;0.7;47;62827.3969543275;0.0;67.1
Western Pacific;Republic of Korea;KOR;2019;51764822;81.43;18.569999999999993;20.949999;19.279999;55.669994;40.579996964;625;12;141686.3;46889.44;951213;0.55;61;33447.1562836166;123.6;97.7
Europe;Republic of Moldova;MDA;2019;2664224;42.726;57.274;21.382824;2.341369;14.425854;23.422081135;2219;0;18567.47;63.39;43511;-0.39;125;4404.95042249597;75.1;69.3
Europe;Romania;ROU;2019;19371648;54.084;45.916;23.459997;4.26;8.01;38.16999469;114260;20131;90501.64;69172.71;507106;0.56;60;12957.9991142218;126.1;107.0
Africa;Rwanda;RWA;2019;12835028;17.313;82.687;1.4900001;2.7000003;4.6000004;4.2800004;368;38;0.5;0.5;19844;0.06;88;806.100820273159;27.0;57.6
Americas;Saint Kitts and Nevis;KNA;2019;47712;30.799;69.201;57.295174;5.746507;35.668316;21.5868783;12;0;3560.24;0.0;0;0.72;46;23204.9705641255;105.8;70.7
Americas;Saint Lucia;LCA;2019;178583;18.754;81.246;32.897423;9.909224;33.66736;22.2682541;61;0;3416.19;0.0;1404;0.91;33;11773.4274818992;76.9;87.7
Americas;Saint Vincent and the Grenadines;VCT;2019;104924;52.614;47.386;80.33469;11.617785;19.416298;15.49704513;5;0;7323.8;0.0;455;0.95;29;8680.25110238522;94.0;88.3
Western Pacific;Samoa;WSM;2019;211905;18.056;81.944;78.838135;5.2998753;45.628925;16.659607610000002;115;0;17322.9;15.07;304;1.16;9;4308.3007294066;121.7;87.3
Africa;Sao Tome and Principe;STP;2019;214599;73.598;26.402;18.158985;1.6899056;27.588459;5.219708046;112;0;3108.44;0.0;766;0.51;65;1924.40814952173;66.5;54.7
Eastern Mediterranean;Saudi Arabia;SAU;2019;35827362;84.065;15.935000000000002;39.439995;5.2399993;11.409998;7.1499989;152;548;635651.52;33659.56;800467;-0.61;140;23405.7060995766;102.7;89.4
Africa;Senegal;SEN;2019;16000781;47.653;52.347;7.3099985;5.319999;17.809996;5.1899992;237;25;2.72;31.38;116491;0.05;89;1462.67835252138;71.5;63.7
